;date;T. Max.;T. Min.;H. Max.;H. Min.;P. Max.;P. Min.;Vel.;Precipitación;T. Amp.;P. Amp.;H. Amp.;T. med1.;P. med1.;H. med1.;Prec. Acumulado;Cuenta_lluvia;Cuenta_sequía;Regresión T. med1.;Regresión T. Max.;Regresión T. Min.;Regresión T. Amp.
2020-04-06;20200406;15.6;10.1;96;65;1021.7;1016.1;26.0;3.4;5.5;5.600000000000023;31;12.85;1018.9000000000001;80.5;1;1;0;14.525595462655966;19.886171802718643;9.150241122686154;10.735930680032485
2020-04-07;20200407;16.3;9.5;96;66;1023.9;1021.2;34.0;1.6;6.800000000000001;2.699999999999932;30;12.9;1022.55;81.0;1;2;0;14.526292383493866;19.886943566041673;9.150860067722078;10.736083498319593
2020-04-08;20200408;19.1;10.8;96;52;1024.1;1018.6;21.0;2.6;8.3;5.499999999999886;44;14.950000000000001;1021.3499999999999;74.0;1;3;0;14.526989304331767;19.887715329364706;9.151479012758005;10.7362363166067
2020-04-09;20200409;14.7;10.2;92;60;1020.0;1017.6;13.0;2.0;4.5;2.3999999999999773;32;12.45;1018.8;76.0;1;4;0;14.527686225169669;19.88848709268774;9.152097957793929;10.736389134893807
2020-04-10;20200410;11.2;8.2;96;92;1022.0;1019.1;21.0;9.8;3.0;2.8999999999999773;4;9.7;1020.55;94.0;1;5;0;14.52838314600757;19.88925885601077;9.152716902829855;10.736541953180915
2020-04-11;20200411;16.9;9.1;97;61;1022.0;1018.0;16.0;3.6;7.799999999999999;4.0;36;13.0;1020.0;79.0;1;6;0;14.529080066845472;19.890030619333803;9.15333584786578;10.736694771468022
2020-04-12;20200412;17.7;8.9;89;34;1019.5;1009.8;23.0;0.0;8.799999999999999;9.700000000000045;55;13.3;1014.65;61.5;0.0;0;1;14.529776987683373;19.890802382656837;9.153954792901704;10.73684758975513
2020-04-13;20200413;16.7;7.1;93;54;1010.0;1006.4;19.0;1.2;9.6;3.6000000000000227;39;11.899999999999999;1008.2;73.5;1;1;0;14.530473908521273;19.891574145979867;9.15457373793763;10.737000408042237
2020-04-14;20200414;15.8;9.2;95;63;1012.3;1009.5;29.0;4.8;6.600000000000001;2.7999999999999545;32;12.5;1010.9;79.0;1;2;0;14.531170829359175;19.8923459093029;9.155192682973555;10.737153226329344
2020-04-15;20200415;13.6;6.9;95;73;1015.9;1010.7;42.0;15.6;6.699999999999999;5.199999999999932;22;10.25;1013.3;84.0;1;3;0;14.531867750197076;19.893117672625934;9.15581162800948;10.73730604461645
2020-04-16;20200416;15.8;9.1;95;67;1016.8;1011.7;35.0;3.8;6.700000000000001;5.099999999999909;28;12.45;1014.25;81.0;1;4;0;14.532564671034978;19.893889435948964;9.156430573045405;10.737458862903557
2020-04-17;20200417;16.3;9.2;95;57;1015.5;1013.8;31.0;0.2;7.100000000000001;1.7000000000000455;38;12.75;1014.65;76.0;1;5;0;14.53326159187288;19.894661199271997;9.157049518081331;10.737611681190664
2020-04-18;20200418;19.3;7.6;93;46;1015.7;1010.4;21.0;0.0;11.700000000000001;5.300000000000068;47;13.45;1013.05;69.5;0.0;0;1;14.53395851271078;19.89543296259503;9.157668463117256;10.737764499477771
2020-04-19;20200419;16.3;10.5;86;54;1009.6;1006.8;31.0;6.2;5.800000000000001;2.800000000000068;32;13.4;1008.2;70.0;1;1;0;14.534655433548682;19.89620472591806;9.158287408153182;10.737917317764879
2020-04-20;20200420;16.6;6.4;88;49;1009.4;1005.6;26.0;0.0;10.200000000000001;3.7999999999999545;39;11.5;1007.5;68.5;0.0;0;1;14.535352354386582;19.896976489241094;9.158906353189106;10.738070136051986
2020-04-21;20200421;13.3;6.8;95;63;1011.0;1004.9;37.0;0.0;6.500000000000001;6.100000000000023;32;10.05;1007.95;79.0;0.0;0;2;14.536049275224483;19.897748252564128;9.15952529822503;10.738222954339093
2020-04-22;20200422;16.2;7.9;86;54;1017.3;1010.8;21.0;0.0;8.299999999999999;6.5;32;12.05;1014.05;70.0;0.0;0;3;14.536746196062385;19.898520015887158;9.160144243260957;10.7383757726262
